Date,Open,High,Low,Close,Volume,Market Cap
"Dec 01, 2016",746.05,758.27,746.05,756.77,"80,461,900","11,949,200,000"
"Nov 30, 2016",736.28,747.93,736.26,745.69,"84,070,800","11,791,600,000"
"Nov 29, 2016",736.33,737.47,734.56,735.60,"68,511,100","11,790,900,000"
"Nov 28, 2016",732.48,738.01,732.48,735.81,"61,888,600","11,727,800,000"
"Nov 27, 2016",735.44,739.02,731.09,732.03,"52,601,800","11,773,800,000"
"Nov 26, 2016",741.51,742.21,729.63,735.38,"54,962,700","11,869,600,000"
"Nov 25, 2016",740.44,741.65,734.59,741.65,"67,807,600","11,851,100,000"
"Nov 24, 2016",744.62,746.83,733.49,740.29,"85,919,300","11,916,500,000"
"Nov 23, 2016",751.74,752.25,738.92,744.59,"76,543,800","12,029,000,000"
"Nov 22, 2016",739.64,753.87,736.53,751.35,"129,906,000","11,834,200,000"
"Nov 21, 2016",731.26,741.72,730.51,739.25,"60,802,400","11,698,900,000"
"Nov 20, 2016",751.88,755.48,717.94,731.03,"154,116,000","12,027,500,000"
"Nov 19, 2016",751.83,756.24,744.47,751.62,"110,608,000","12,025,400,000"
"Nov 18, 2016",740.71,752.88,736.89,751.59,"87,363,100","11,846,000,000"
"Nov 17, 2016",744.88,755.64,739.51,740.98,"108,579,000","11,911,300,000"
"Nov 16, 2016",711.17,747.62,709.04,744.20,"141,294,000","11,370,700,000"
"Nov 15, 2016",705.79,715.72,705.26,711.62,"72,038,500","11,283,400,000"
"Nov 14, 2016",702.00,706.28,699.81,705.02,"62,993,000","11,214,600,000"
"Nov 13, 2016",705.20,705.26,687.32,702.03,"80,318,100","11,264,500,000"
"Nov 12, 2016",716.75,717.15,704.03,705.05,"64,622,500","11,447,700,000"
"Nov 11, 2016",715.55,718.32,714.41,716.41,"63,119,700","11,427,200,000"
"Nov 10, 2016",722.84,723.02,711.21,715.53,"68,807,800","11,542,100,000"
"Nov 09, 2016",709.83,740.05,708.61,723.27,"132,429,000","11,333,000,000"
"Nov 08, 2016",703.09,712.99,702.39,709.85,"79,660,800","11,224,000,000"
"Nov 07, 2016",710.74,710.74,699.90,703.13,"65,047,100","11,344,800,000"
"Nov 06, 2016",703.81,714.26,699.56,711.52,"59,902,200","11,233,000,000"
"Nov 05, 2016",703.52,707.51,697.74,703.42,"53,752,300","11,227,200,000"
"Nov 04, 2016",689.12,706.93,685.56,703.24,"99,907,700","10,996,400,000"
"Nov 03, 2016",742.35,745.77,678.16,688.70,"172,808,000","11,844,300,000"
"Nov 02, 2016",730.07,740.83,722.35,740.83,"84,865,200","11,647,200,000"
"Nov 01, 2016",701.34,736.45,701.34,729.79,"130,527,000","11,187,700,000"
"Oct 31, 2016",702.64,709.29,691.68,700.97,"97,064,400","11,207,200,000"
"Oct 30, 2016",714.12,714.12,696.48,701.86,"100,665,000","11,388,800,000"
"Oct 29, 2016",690.29,720.40,690.05,714.48,"134,761,000","11,007,600,000"
"Oct 28, 2016",688.00,690.44,684.16,689.65,"81,145,500","10,969,800,000"
"Oct 27, 2016",678.21,688.59,678.04,688.31,"96,105,300","10,812,500,000"
"Oct 26, 2016",657.68,679.73,657.68,678.30,"88,877,100","10,484,000,000"
"Oct 25, 2016",654.00,664.42,653.70,657.59,"90,378,800","10,424,300,000"
"Oct 24, 2016",657.16,657.25,652.60,653.76,"62,218,200","10,473,500,000"
"Oct 23, 2016",657.62,661.13,653.89,657.07,"54,474,600","10,479,700,000"
"Oct 22, 2016",633.14,658.20,632.85,657.29,"78,556,500","10,088,400,000"
"Oct 21, 2016",630.83,634.09,630.69,632.83,"55,951,000","10,050,300,000"
"Oct 20, 2016",630.66,631.92,628.26,630.86,"56,957,300","10,046,700,000"
